longitude,latitude,point_id,distance_to_building_m,distance_to_park_m,distance_to_library_m,distance_to_parking_m,distance_to_footway_m,distance_to_grass_m,distance_to_fitness_centre_m,distance_to_wood_m,distance_to_wetland_m
-84.40075817,33.77012766,43,274.1774076,618.9316034,628.3157443,263.5641477,206.2698605,526.090462,883.4767029,818.1512642,1225.858594
-84.40183702,33.77015039,44,271.4228438,714.4581132,699.6014812,254.6293796,279.1661127,568.6809048,983.4649704,826.4438461,1248.196346
-84.40128399,33.77058953,45,218.2065402,653.5299011,629.0307268,204.5534365,229.4640476,512.8897269,934.0446419,770.9705295,1187.385032
-84.40182342,33.77060089,46,222.0801561,702.3449042,667.4656802,204.8215068,229.1985002,519.1926442,984.0099211,776.9906867,1200.006511
-84.40236284,33.77061225,47,230.9946554,751.3157774,707.3480142,215.4765956,232.6406148,528.9754902,1033.978557,783.0405583,1214.556725
-84.40180981,33.77105139,48,172.7418722,693.6327079,637.6208233,155.13047,179.2489512,469.8127629,987.0887019,727.6122755,1151.970978
-84.40020514,33.77056679,49,243.1398463,556.5314598,557.6899652,234.413859,137.2105157,457.9990312,834.1265669,768.6075836,1168.168819
-84.39912628,33.77054405,50,299.3613801,460.8179683,496.3431669,283.2853148,70.70857142,393.3924134,734.230799,779.1788485,1157.304439
-84.39857324,33.77098317,51,231.8906369,398.7532269,427.3101473,233.3703357,25.7565881,324.6276324,688.265711,740.6117772,1105.098485
-84.39911266,33.77099454,52,267.0433752,447.4272777,455.439064,245.3179003,26.31889279,368.7221983,738.0032238,729.9484738,1107.418202
-84.40073095,33.77102866,53,177.6452314,594.7707689,558.4953696,169.7479904,170.0976761,442.7728654,887.3927916,718.1794232,1127.728829
-84.39965209,33.77100592,54,230.349124,496.3649885,487.0888214,213.4485569,71.457651,390.8389066,787.77397,722.5951454,1111.983582
-84.40019152,33.77101729,55,199.5226142,545.495403,521.6189212,188.5491675,120.4977496,414.6099741,837.5720251,718.6534033,1118.767133
-84.40017791,33.77146779,56,159.6920858,538.8907158,488.0107587,144.4645401,123.3397329,372.8803409,843.3979431,668.7060717,1069.421062
-84.39963847,33.77145641,57,196.8578361,489.0973019,450.9143174,174.6155465,76.15233372,346.2562186,793.9653777,672.9404435,1062.322453
-84.39909904,33.77144504,58,238.3424331,439.350814,416.5248404,212.3939142,37.22453711,325.1876215,744.6085895,680.8302804,1057.54271
-84.39750801,33.77050991,59,175.1780685,322.1678153,432.2779226,191.6267777,83.79288442,270.6091526,584.453994,818.0236967,1157.132805
-84.39696858,33.77049853,60,143.9673147,278.5768625,420.7533998,144.0849152,84.37402699,225.7162375,534.5562079,836.5666731,1161.102533
-84.39803381,33.77097179,61,187.8322084,350.4527116,403.4391937,190.6826948,33.10342935,282.5068848,638.5691971,754.4447194,1105.038574
-84.39695495,33.77094902,62,104.4695079,255.8183677,371.62027,123.1106945,34.37664341,206.3423966,539.3444917,790.9164905,1111.338568
-84.39749438,33.77096041,63,144.4806079,302.7045922,384.6198176,152.5059559,33.79770484,243.386894,588.9240614,771.2767758,1107.238835
-84.39855961,33.77143366,64,212.3780174,389.669225,385.567327,208.267502,23.28191559,302.6244675,695.3437151,692.2506055,1055.113345
-84.39748075,33.7714109,65,120.1539434,290.6338574,337.6397573,121.6359785,16.19747475,213.1563951,597.1806622,724.9641103,1057.354882
-84.39802018,33.77142228,66,167.1206124,340.0809786,358.9308912,167.0243538,16.89175023,256.9214054,646.191777,707.0303608,1055.050595
-84.39694132,33.77139952,67,77.10149906,241.4145939,322.7535077,81.81373823,15.62074017,172.8082434,548.348132,745.8243703,1061.596784
