Datetime,Date,Temp,RH,DewPt
2015-04-03 09:00:00,04/03/15,21.223,59.943,13.395
2015-04-03 10:00:00,04/03/15,22.949,49.023,11.925
2015-04-03 11:00:00,04/03/15,24.541,39.676,10.259
2015-04-03 12:00:00,04/03/15,26.656,33.348,9.475
2015-04-03 13:00:00,04/03/15,27.954,28.247,8.097
2015-04-03 14:00:00,04/03/15,29.074,25.851,7.704
2015-04-03 15:00:00,04/03/15,29.095,24.933,7.166
2015-04-03 16:00:00,04/03/15,28.835,27.538,8.465
2015-04-03 17:00:00,04/03/15,27.961,30.451,9.256
2015-04-03 18:00:00,04/03/15,26.818,32.819,9.412
2015-04-03 19:00:00,04/03/15,25.471,34.686,9.069
2015-04-03 20:00:00,04/03/15,24.339,37.740,9.338
2015-04-03 21:00:00,04/03/15,23.673,40.508,9.806
2015-04-03 22:00:00,04/03/15,23.234,43.524,10.483
2015-04-03 23:00:00,04/03/15,22.716,49.199,11.826
2015-04-04 00:00:00,04/04/15,19.416,74.079,14.529
2015-04-04 01:00:00,04/04/15,17.865,89.838,15.992
2015-04-04 02:00:00,04/04/15,17.534,92.232,16.031
2015-04-04 03:00:00,04/04/15,15.397,88.769,13.382
2015-04-04 04:00:00,04/04/15,13.492,85.238,10.947
2015-04-04 05:00:00,04/04/15,12.761,79.292,9.229
2015-04-04 06:00:00,04/04/15,11.940,69.287,6.617
2015-04-04 07:00:00,04/04/15,12.027,66.415,6.117
2015-04-04 08:00:00,04/04/15,12.815,61.520,5.819
2015-04-04 09:00:00,04/04/15,14.199,56.129,5.838
2015-04-04 10:00:00,04/04/15,15.835,49.679,5.637
2015-04-04 11:00:00,04/04/15,16.935,44.452,5.074
2015-04-04 12:00:00,04/04/15,18.208,39.851,4.644
2015-04-04 13:00:00,04/04/15,19.105,35.167,3.653
2015-04-04 14:00:00,04/04/15,20.158,32.178,3.301
2015-04-04 15:00:00,04/04/15,20.531,30.396,2.804
2015-04-04 16:00:00,04/04/15,20.710,28.023,1.771
2015-04-04 17:00:00,04/04/15,20.152,21.305,-2.693
2015-04-04 18:00:00,04/04/15,18.460,18.139,-6.316
2015-04-04 19:00:00,04/04/15,16.991,19.546,-6.481
2015-04-04 20:00:00,04/04/15,15.463,28.077,-2.716
2015-04-04 21:00:00,04/04/15,14.084,30.291,-2.841
2015-04-04 22:00:00,04/04/15,13.050,29.777,-3.975
2015-04-04 23:00:00,04/04/15,12.270,28.761,-5.124
2015-04-05 00:00:00,04/05/15,12.233,29.514,-4.805
2015-04-05 01:00:00,04/05/15,12.108,31.361,-4.088
2015-04-05 02:00:00,04/05/15,11.631,32.979,-3.824
2015-04-05 03:00:00,04/05/15,11.163,33.205,-4.140
2015-04-05 04:00:00,04/05/15,10.913,31.043,-5.275
2015-04-05 05:00:00,04/05/15,10.657,28.838,-6.485
2015-04-05 06:00:00,04/05/15,10.711,26.425,-7.612
2015-04-05 07:00:00,04/05/15,11.766,25.342,-7.272
2015-04-05 08:00:00,04/05/15,12.951,24.465,-6.740
2015-04-05 09:00:00,04/05/15,14.533,23.171,-6.153
2015-04-05 10:00:00,04/05/15,16.260,22.273,-5.244
2015-04-05 11:00:00,04/05/15,17.205,22.302,-4.438
2015-04-05 12:00:00,04/05/15,18.543,22.514,-3.184
