Datetime,Date,Temp,RH,DewPt
2017-05-01 15:00:00,05/01/17,23.821,38.377,9.131
2017-05-01 16:00:00,05/01/17,24.277,40.425,10.314
2017-05-01 17:00:00,05/01/17,24.633,37.418,9.450
2017-05-01 18:00:00,05/01/17,23.224,35.471,7.413
2017-05-01 19:00:00,05/01/17,21.770,33.194,5.164
2017-05-01 20:00:00,05/01/17,19.423,38.730,5.319
2017-05-01 21:00:00,05/01/17,18.975,38.374,4.802
2017-05-01 22:00:00,05/01/17,17.577,41.451,4.641
2017-05-01 23:00:00,05/01/17,16.566,45.540,5.075
2017-05-02 00:00:00,05/02/17,16.195,46.779,5.121
2017-05-02 01:00:00,05/02/17,15.215,51.131,5.484
2017-05-02 02:00:00,05/02/17,14.377,54.413,5.576
2017-05-02 03:00:00,05/02/17,13.096,59.740,5.668
2017-05-02 04:00:00,05/02/17,11.971,64.631,5.688
2017-05-02 05:00:00,05/02/17,11.185,68.618,5.746
2017-05-02 06:00:00,05/02/17,12.111,67.245,6.364
2017-05-02 07:00:00,05/02/17,14.031,62.694,7.232
2017-05-02 08:00:00,05/02/17,17.201,54.932,8.326
2017-05-02 09:00:00,05/02/17,19.990,43.992,7.669
2017-05-02 10:00:00,05/02/17,21.539,36.701,6.422
2017-05-02 11:00:00,05/02/17,22.655,33.367,6.008
2017-05-02 12:00:00,05/02/17,23.902,29.223,5.128
2017-05-02 13:00:00,05/02/17,25.135,26.544,4.750
2017-05-02 14:00:00,05/02/17,26.161,24.849,4.611
2017-05-02 15:00:00,05/02/17,26.714,22.893,3.877
2017-05-02 16:00:00,05/02/17,26.675,23.193,4.040
2017-05-02 17:00:00,05/02/17,26.301,23.748,4.073
2017-05-02 18:00:00,05/02/17,24.448,26.457,4.128
2017-05-02 19:00:00,05/02/17,22.939,28.757,4.047
2017-05-02 20:00:00,05/02/17,20.643,35.786,5.256
2017-05-02 21:00:00,05/02/17,18.366,44.022,6.215
2017-05-02 22:00:00,05/02/17,17.147,47.761,6.291
2017-05-02 23:00:00,05/02/17,16.326,51.827,6.703
2017-05-03 00:00:00,05/03/17,15.533,55.327,6.893
2017-05-03 01:00:00,05/03/17,14.493,59.142,6.850
2017-05-03 02:00:00,05/03/17,13.962,62.289,7.077
2017-05-03 03:00:00,05/03/17,13.373,65.439,7.204
2017-05-03 04:00:00,05/03/17,12.791,67.961,7.166
2017-05-03 05:00:00,05/03/17,12.211,71.378,7.282
2017-05-03 06:00:00,05/03/17,13.039,73.172,8.420
2017-05-03 07:00:00,05/03/17,16.463,63.519,9.719
2017-05-03 08:00:00,05/03/17,21.477,48.694,10.478
2017-05-03 09:00:00,05/03/17,24.848,35.516,8.796
2017-05-03 10:00:00,05/03/17,26.319,30.105,7.661
2017-05-03 11:00:00,05/03/17,27.037,30.127,8.288
2017-05-03 12:00:00,05/03/17,28.032,28.190,8.134
2017-05-03 13:00:00,05/03/17,28.892,27.887,8.697
2017-05-03 14:00:00,05/03/17,29.219,26.965,8.468
2017-05-03 15:00:00,05/03/17,29.324,26.317,8.177
2017-05-03 16:00:00,05/03/17,29.174,27.696,8.840
2017-05-03 17:00:00,05/03/17,28.017,28.609,8.350
2017-05-03 18:00:00,05/03/17,26.743,31.486,8.709
2017-05-03 19:00:00,05/03/17,25.188,35.341,9.087
2017-05-03 20:00:00,05/03/17,23.629,40.830,9.878
2017-05-03 21:00:00,05/03/17,23.398,43.330,10.564
2017-05-03 22:00:00,05/03/17,22.445,45.786,10.497
2017-05-03 23:00:00,05/03/17,21.684,47.680,10.418
