Datetime,Date,Temp,RH,DewPt
2015-04-03 09:00:00,04/03/15,20.631,62.234,13.365
2015-04-03 10:00:00,04/03/15,23.635,46.909,11.905
2015-04-03 11:00:00,04/03/15,25.290,37.971,10.268
2015-04-03 12:00:00,04/03/15,27.164,31.652,9.130
2015-04-03 13:00:00,04/03/15,28.349,27.255,7.888
2015-04-03 14:00:00,04/03/15,28.095,25.769,6.829
2015-04-03 15:00:00,04/03/15,28.126,25.127,6.464
2015-04-03 16:00:00,04/03/15,27.778,28.071,7.853
2015-04-03 17:00:00,04/03/15,27.433,30.651,8.899
2015-04-03 18:00:00,04/03/15,26.806,32.428,9.219
2015-04-03 19:00:00,04/03/15,25.593,34.173,8.950
2015-04-03 20:00:00,04/03/15,24.444,37.222,9.223
2015-04-03 21:00:00,04/03/15,23.675,40.421,9.776
2015-04-03 22:00:00,04/03/15,23.396,42.958,10.435
2015-04-03 23:00:00,04/03/15,22.894,48.723,11.839
2015-04-04 00:00:00,04/04/15,19.466,76.090,14.967
2015-04-04 01:00:00,04/04/15,17.901,91.131,16.226
2015-04-04 02:00:00,04/04/15,17.540,93.866,16.281
2015-04-04 03:00:00,04/04/15,15.323,91.085,13.661
2015-04-04 04:00:00,04/04/15,13.411,87.919,11.286
2015-04-04 05:00:00,04/04/15,12.759,82.008,9.691
2015-04-04 06:00:00,04/04/15,11.906,71.631,7.037
2015-04-04 07:00:00,04/04/15,11.765,69.206,6.428
2015-04-04 08:00:00,04/04/15,13.178,62.562,6.384
2015-04-04 09:00:00,04/04/15,15.182,54.330,6.284
2015-04-04 10:00:00,04/04/15,16.887,47.813,6.054
2015-04-04 11:00:00,04/04/15,17.726,43.527,5.492
2015-04-04 12:00:00,04/04/15,19.070,39.466,5.284
2015-04-04 13:00:00,04/04/15,19.895,34.688,4.154
2015-04-04 14:00:00,04/04/15,19.766,33.271,3.443
2015-04-04 15:00:00,04/04/15,19.522,32.368,2.835
2015-04-04 16:00:00,04/04/15,19.403,30.236,1.743
2015-04-04 17:00:00,04/04/15,19.082,23.139,-2.417
2015-04-04 18:00:00,04/04/15,18.077,19.390,-5.687
2015-04-04 19:00:00,04/04/15,16.604,20.714,-5.976
2015-04-04 20:00:00,04/04/15,15.081,28.449,-2.908
2015-04-04 21:00:00,04/04/15,13.778,31.987,-2.356
2015-04-04 22:00:00,04/04/15,12.837,31.226,-3.515
2015-04-04 23:00:00,04/04/15,11.922,32.447,-3.788
2015-04-05 00:00:00,04/05/15,12.046,31.276,-4.181
2015-04-05 01:00:00,04/05/15,12.001,32.679,-3.623
2015-04-05 02:00:00,04/05/15,11.838,33.079,-3.599
2015-04-05 03:00:00,04/05/15,11.398,32.993,-4.020
2015-04-05 04:00:00,04/05/15,11.161,30.764,-5.181
2015-04-05 05:00:00,04/05/15,11.011,27.918,-6.615
2015-04-05 06:00:00,04/05/15,10.909,25.930,-7.696
2015-04-05 07:00:00,04/05/15,11.515,25.302,-7.507
2015-04-05 08:00:00,04/05/15,13.122,24.085,-6.807
2015-04-05 09:00:00,04/05/15,15.170,22.707,-5.900
2015-04-05 10:00:00,04/05/15,16.677,21.661,-5.284
2015-04-05 11:00:00,04/05/15,17.815,21.722,-4.301
2015-04-05 12:00:00,04/05/15,18.846,21.937,-3.298
2015-04-05 13:00:00,04/05/15,19.595,22.839,-2.101
2015-04-05 14:00:00,04/05/15,19.817,23.633,-1.425
2015-04-05 15:00:00,04/05/15,20.004,24.211,-0.922
2015-04-05 16:00:00,04/05/15,20.293,24.296,-0.627
2015-04-05 17:00:00,04/05/15,20.049,24.649,-0.626
