Datetime,Date,Temp,RH,DewPt
2015-04-03 14:00:00,04/03/15,28.188,26.052,7.074
2015-04-03 15:00:00,04/03/15,28.452,25.078,6.710
2015-04-03 16:00:00,04/03/15,28.056,28.015,8.059
2015-04-03 17:00:00,04/03/15,27.460,30.749,8.973
2015-04-03 18:00:00,04/03/15,26.672,32.694,9.224
2015-04-03 19:00:00,04/03/15,25.297,34.667,8.908
2015-04-03 20:00:00,04/03/15,24.257,37.577,9.199
2015-04-03 21:00:00,04/03/15,23.551,40.593,9.727
2015-04-03 22:00:00,04/03/15,23.136,43.510,10.391
2015-04-03 23:00:00,04/03/15,22.583,49.549,11.804
2015-04-04 00:00:00,04/04/15,19.055,74.911,14.329
2015-04-04 01:00:00,04/04/15,17.544,91.527,15.933
2015-04-04 02:00:00,04/04/15,17.276,93.497,15.962
2015-04-04 03:00:00,04/04/15,15.170,89.700,13.299
2015-04-04 04:00:00,04/04/15,13.213,86.474,10.866
2015-04-04 05:00:00,04/04/15,12.559,79.724,9.101
2015-04-04 06:00:00,04/04/15,11.724,69.292,6.410
2015-04-04 07:00:00,04/04/15,11.613,67.562,5.955
2015-04-04 08:00:00,04/04/15,12.322,62.450,5.555
2015-04-04 09:00:00,04/04/15,13.613,56.897,5.479
2015-04-04 10:00:00,04/04/15,14.892,50.599,5.022
2015-04-04 11:00:00,04/04/15,16.306,45.462,4.821
2015-04-04 12:00:00,04/04/15,17.556,41.009,4.466
2015-04-04 13:00:00,04/04/15,18.533,35.812,3.405
2015-04-04 14:00:00,04/04/15,19.262,32.859,2.823
2015-04-04 15:00:00,04/04/15,19.813,30.934,2.431
2015-04-04 16:00:00,04/04/15,19.837,28.575,1.295
2015-04-04 17:00:00,04/04/15,19.631,21.859,-2.790
2015-04-04 18:00:00,04/04/15,18.347,17.762,-6.707
2015-04-04 19:00:00,04/04/15,16.739,19.316,-6.842
2015-04-04 20:00:00,04/04/15,15.175,28.120,-2.957
2015-04-04 21:00:00,04/04/15,13.596,30.907,-2.988
2015-04-04 22:00:00,04/04/15,12.594,29.981,-4.277
2015-04-04 23:00:00,04/04/15,11.942,29.146,-5.228
2015-04-05 00:00:00,04/05/15,11.781,29.822,-5.058
2015-04-05 01:00:00,04/05/15,11.678,31.865,-4.251
2015-04-05 02:00:00,04/05/15,11.220,33.763,-3.866
