Datetime,Date,Temp,RH,DewPt
2015-04-03 15:00:00,04/03/15,28.559,26.749,7.782
2015-04-03 16:00:00,04/03/15,27.873,28.952,8.404
2015-04-03 17:00:00,04/03/15,27.229,32.022,9.391
2015-04-03 18:00:00,04/03/15,26.496,33.651,9.511
2015-04-03 19:00:00,04/03/15,25.271,35.606,9.287
2015-04-03 20:00:00,04/03/15,24.130,38.758,9.550
2015-04-03 21:00:00,04/03/15,23.497,41.567,10.033
2015-04-03 22:00:00,04/03/15,23.142,44.483,10.728
2015-04-03 23:00:00,04/03/15,22.724,50.207,12.134
2015-04-04 00:00:00,04/04/15,18.906,79.097,14.994
2015-04-04 01:00:00,04/04/15,17.546,93.413,16.218
2015-04-04 02:00:00,04/04/15,17.205,95.107,16.127
2015-04-04 03:00:00,04/04/15,14.903,92.557,13.460
2015-04-04 04:00:00,04/04/15,13.048,90.200,11.269
2015-04-04 05:00:00,04/04/15,12.340,83.422,9.505
2015-04-04 06:00:00,04/04/15,11.455,74.092,7.059
2015-04-04 07:00:00,04/04/15,11.185,72.130,6.434
2015-04-04 08:00:00,04/04/15,11.892,67.660,6.243
2015-04-04 09:00:00,04/04/15,13.393,60.999,6.238
2015-04-04 10:00:00,04/04/15,15.262,53.495,6.138
2015-04-04 11:00:00,04/04/15,17.488,46.008,6.066
2015-04-04 12:00:00,04/04/15,18.895,41.365,5.801
2015-04-04 13:00:00,04/04/15,19.547,36.485,4.580
2015-04-04 14:00:00,04/04/15,20.204,33.896,4.093
2015-04-04 15:00:00,04/04/15,20.414,32.216,3.547
2015-04-04 16:00:00,04/04/15,19.649,30.631,2.147
2015-04-04 17:00:00,04/04/15,18.961,24.234,-1.847
2015-04-04 18:00:00,04/04/15,17.706,20.707,-5.071
2015-04-04 19:00:00,04/04/15,16.075,22.041,-5.562
2015-04-04 20:00:00,04/04/15,14.367,31.292,-2.163
2015-04-04 21:00:00,04/04/15,13.212,33.049,-2.406
2015-04-04 22:00:00,04/04/15,11.922,33.148,-3.500
2015-04-04 23:00:00,04/04/15,11.140,33.598,-4.010
2015-04-05 00:00:00,04/05/15,10.665,34.271,-4.154
2015-04-05 01:00:00,04/05/15,10.583,36.503,-3.375
2015-04-05 02:00:00,04/05/15,10.724,37.391,-2.927
2015-04-05 03:00:00,04/05/15,10.337,37.842,-3.108
2015-04-05 04:00:00,04/05/15,10.157,35.116,-4.278
2015-04-05 05:00:00,04/05/15,9.987,32.357,-5.526
2015-04-05 06:00:00,04/05/15,10.155,29.686,-6.533
2015-04-05 07:00:00,04/05/15,10.874,29.150,-6.150
2015-04-05 08:00:00,04/05/15,12.370,28.115,-5.347
2015-04-05 09:00:00,04/05/15,14.572,26.060,-4.500
2015-04-05 10:00:00,04/05/15,16.766,24.300,-3.611
2015-04-05 11:00:00,04/05/15,18.105,23.794,-2.772
2015-04-05 12:00:00,04/05/15,19.693,24.131,-1.242
2015-04-05 13:00:00,04/05/15,20.837,23.920,-0.399
2015-04-05 14:00:00,04/05/15,20.819,25.166,0.313
2015-04-05 15:00:00,04/05/15,20.613,25.739,0.469
2015-04-05 16:00:00,04/05/15,20.291,26.688,0.718
2015-04-05 17:00:00,04/05/15,19.532,27.506,0.502
2015-04-05 18:00:00,04/05/15,18.788,28.931,0.588
2015-04-05 19:00:00,04/05/15,18.146,30.324,0.704
2015-04-05 20:00:00,04/05/15,17.649,31.404,0.769
