Datetime,Date,Temp,RH,DewPt
2017-05-02 09:00:00,05/02/17,18.804,50.165,8.525
2017-05-02 10:00:00,05/02/17,20.041,44.720,7.970
2017-05-02 11:00:00,05/02/17,21.567,40.126,7.762
2017-05-02 12:00:00,05/02/17,22.801,35.378,7.007
2017-05-02 13:00:00,05/02/17,24.034,31.499,6.356
2017-05-02 14:00:00,05/02/17,24.569,30.721,6.447
2017-05-02 15:00:00,05/02/17,24.738,30.318,6.391
2017-05-02 16:00:00,05/02/17,24.448,30.552,6.265
2017-05-02 17:00:00,05/02/17,23.809,33.487,7.072
2017-05-02 18:00:00,05/02/17,22.846,35.001,6.893
2017-05-02 19:00:00,05/02/17,21.927,33.849,5.594
2017-05-02 20:00:00,05/02/17,20.682,37.322,5.907
2017-05-02 21:00:00,05/02/17,19.476,42.217,6.625
2017-05-02 22:00:00,05/02/17,17.778,49.265,7.312
2017-05-02 23:00:00,05/02/17,16.439,54.944,7.638
2017-05-03 00:00:00,05/03/17,15.423,61.603,8.288
2017-05-03 01:00:00,05/03/17,14.505,69.576,9.138
2017-05-03 02:00:00,05/03/17,13.682,70.842,8.597
2017-05-03 03:00:00,05/03/17,13.142,75.967,9.033
2017-05-03 04:00:00,05/03/17,12.495,80.351,9.168
2017-05-03 05:00:00,05/03/17,11.941,82.489,8.979
2017-05-03 06:00:00,05/03/17,12.648,83.417,9.824
2017-05-03 07:00:00,05/03/17,15.002,77.877,11.182
2017-05-03 08:00:00,05/03/17,18.353,64.837,11.785
2017-05-03 09:00:00,05/03/17,21.410,50.136,10.871
2017-05-03 10:00:00,05/03/17,23.734,39.588,9.504
2017-05-03 11:00:00,05/03/17,25.188,33.961,8.470
2017-05-03 12:00:00,05/03/17,26.276,30.932,8.039
2017-05-03 13:00:00,05/03/17,27.243,30.657,8.736
2017-05-03 14:00:00,05/03/17,27.204,29.900,8.316
2017-05-03 15:00:00,05/03/17,27.122,30.610,8.608
2017-05-03 16:00:00,05/03/17,26.979,31.663,9.001
2017-05-03 17:00:00,05/03/17,26.536,32.269,8.905
2017-05-03 18:00:00,05/03/17,26.024,33.596,9.069
2017-05-03 19:00:00,05/03/17,24.863,36.839,9.432
2017-05-03 20:00:00,05/03/17,23.237,43.288,10.382
2017-05-03 21:00:00,05/03/17,22.701,45.265,10.589
2017-05-03 22:00:00,05/03/17,22.509,45.782,10.584
2017-05-03 23:00:00,05/03/17,22.357,45.734,10.431
2017-05-04 00:00:00,05/04/17,22.035,45.989,10.216
2017-05-04 01:00:00,05/04/17,21.636,46.261,9.942
2017-05-04 02:00:00,05/04/17,21.209,47.291,9.874
2017-05-04 03:00:00,05/04/17,19.839,55.550,10.879
2017-05-04 04:00:00,05/04/17,17.802,73.122,13.016
2017-05-04 05:00:00,05/04/17,16.091,83.436,13.200
2017-05-04 06:00:00,05/04/17,15.471,88.273,13.379
2017-05-04 07:00:00,05/04/17,15.251,91.525,13.654
2017-05-04 08:00:00,05/04/17,15.169,92.841,13.767
2017-05-04 09:00:00,05/04/17,15.368,93.273,14.028
2017-05-04 10:00:00,05/04/17,15.016,93.428,13.699
2017-05-04 11:00:00,05/04/17,15.958,93.133,14.596
2017-05-04 12:00:00,05/04/17,17.673,90.609,15.921
2017-05-04 13:00:00,05/04/17,18.590,88.415,16.490
2017-05-04 14:00:00,05/04/17,17.976,91.884,16.418
2017-05-04 15:00:00,05/04/17,18.190,92.853,16.778
2017-05-04 16:00:00,05/04/17,18.461,93.076,17.082
2017-05-04 17:00:00,05/04/17,18.986,92.687,17.546
2017-05-04 18:00:00,05/04/17,19.131,91.639,17.531
2017-05-04 19:00:00,05/04/17,18.850,91.656,17.254
2017-05-04 20:00:00,05/04/17,17.315,92.367,15.832
2017-05-04 21:00:00,05/04/17,15.006,93.805,13.744
2017-05-04 22:00:00,05/04/17,14.802,94.158,13.591
2017-05-04 23:00:00,05/04/17,13.172,94.373,11.995
2017-05-05 00:00:00,05/05/17,12.704,94.514,11.547
2017-05-05 01:00:00,05/05/17,12.296,94.644,11.157
2017-05-05 02:00:00,05/05/17,11.754,94.631,10.615
2017-05-05 03:00:00,05/05/17,10.803,94.553,9.654
2017-05-05 04:00:00,05/05/17,10.106,94.546,8.956
2017-05-05 05:00:00,05/05/17,9.673,94.688,8.544
2017-05-05 06:00:00,05/05/17,9.217,94.132,8.013
2017-05-05 07:00:00,05/05/17,9.587,94.270,8.401
2017-05-05 08:00:00,05/05/17,9.723,94.456,8.562
2017-05-05 09:00:00,05/05/17,10.028,94.613,8.888
2017-05-05 10:00:00,05/05/17,10.357,94.723,9.231
2017-05-05 11:00:00,05/05/17,10.962,94.370,9.787
2017-05-05 12:00:00,05/05/17,11.206,93.392,9.895
2017-05-05 13:00:00,05/05/17,11.331,93.642,10.055
2017-05-05 14:00:00,05/05/17,11.419,93.567,10.132
2017-05-05 15:00:00,05/05/17,11.171,93.347,9.855
2017-05-05 16:00:00,05/05/17,11.228,92.457,9.786
2017-05-05 17:00:00,05/05/17,11.045,92.056,9.547
2017-05-05 18:00:00,05/05/17,10.695,93.470,9.397
2017-05-05 19:00:00,05/05/17,10.679,92.930,9.306
2017-05-05 20:00:00,05/05/17,10.255,91.001,8.611
2017-05-05 21:00:00,05/05/17,10.020,89.942,8.226
2017-05-05 22:00:00,05/05/17,9.712,88.500,7.711
2017-05-05 23:00:00,05/05/17,9.449,86.323,7.127
2017-05-06 00:00:00,05/06/17,9.618,85.501,7.169
2017-05-06 01:00:00,05/06/17,9.698,85.854,7.302
