"Plot Title:  10635580"
"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 10635580, SEN S/N: 10635580, LBL:  10635580_T)","RH, % (LGR S/N: 10635580, SEN S/N: 10635580, LBL:  10635580_RH)"
1,18-05-21,13:07:28,78.865,64.386
2,18-05-21,13:12:28,79.655,62.961
3,18-05-21,13:17:28,79.128,64.197
4,18-05-21,13:22:28,79.743,63.000
5,18-05-21,13:27:28,81.509,61.217
6,18-05-21,13:32:28,80.404,61.305
7,18-05-21,13:37:28,80.096,62.325
8,18-05-21,13:42:28,80.845,63.008
9,18-05-21,13:47:28,81.244,61.966
10,18-05-21,13:52:28,80.625,60.830
11,18-05-21,13:57:28,80.139,61.559
12,18-05-21,14:02:28,80.625,61.787
13,18-05-21,14:07:28,80.316,62.560
14,18-05-21,14:12:28,80.139,62.729
15,18-05-21,14:17:28,80.184,62.518
16,18-05-21,14:22:28,79.480,62.914
17,18-05-21,14:27:28,79.347,63.147
18,18-05-21,14:32:28,79.831,63.621
19,18-05-21,14:37:28,80.757,62.908
20,18-05-21,14:42:28,81.864,61.465
21,18-05-21,14:47:28,81.376,60.151
22,18-05-21,14:52:28,80.625,60.086
23,18-05-21,14:57:28,80.935,60.237
24,18-05-21,15:02:28,81.554,60.073
25,18-05-21,15:07:28,81.199,60.508
26,18-05-21,15:12:28,81.554,59.669
27,18-05-21,15:17:28,81.775,59.968
28,18-05-21,15:22:28,82.353,57.895
29,18-05-21,15:27:28,82.486,57.090
30,18-05-21,15:32:28,82.218,55.840
31,18-05-21,15:37:28,82.042,57.336
32,18-05-21,15:42:28,82.308,56.320
33,18-05-21,15:47:28,82.308,56.698
34,18-05-21,15:52:28,81.819,57.913
35,18-05-21,15:57:28,81.597,58.863
36,18-05-21,16:02:28,81.421,59.409
37,18-05-21,16:07:28,81.154,59.542
38,18-05-21,16:12:28,81.333,59.432
39,18-05-21,16:17:28,81.864,59.010
40,18-05-21,16:22:28,82.085,58.467
41,18-05-21,16:27:28,82.130,58.658
42,18-05-21,16:32:28,82.218,55.051
43,18-05-21,16:37:28,82.218,54.418
44,18-05-21,16:42:28,81.730,54.696
45,18-05-21,16:47:28,81.333,55.832
46,18-05-21,16:52:28,81.288,56.960
47,18-05-21,16:57:28,81.333,57.058
48,18-05-21,17:02:28,81.376,57.531
49,18-05-21,17:07:28,81.244,57.646
50,18-05-21,17:12:28,81.597,57.675
51,18-05-21,17:17:28,82.042,57.022
52,18-05-21,17:22:28,81.421,57.033
53,18-05-21,17:27:28,81.597,57.174
54,18-05-21,17:32:28,82.130,57.625
55,18-05-21,17:37:28,81.864,56.787
56,18-05-21,17:42:28,81.952,57.297
57,18-05-21,17:47:28,82.530,56.999
58,18-05-21,17:52:28,82.042,56.928
59,18-05-21,17:57:28,81.244,58.052
60,18-05-21,18:02:28,81.376,58.470
61,18-05-21,18:07:28,81.819,57.725
62,18-05-21,18:12:28,81.466,57.664
63,18-05-21,18:17:28,81.244,58.177
64,18-05-21,18:22:28,81.421,58.723
65,18-05-21,18:27:28,81.466,58.633
66,18-05-21,18:32:28,81.597,58.395
67,18-05-21,18:37:28,81.819,57.788
68,18-05-21,18:42:28,81.244,57.489
69,18-05-21,18:47:28,81.199,57.955
70,18-05-21,18:52:28,81.687,57.651
71,18-05-21,18:57:28,81.730,57.530
72,18-05-21,19:02:28,81.154,57.074
73,18-05-21,19:07:28,81.066,58.631
74,18-05-21,19:12:28,80.890,57.710
