"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Bad Battery (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
94,02/23/19,11:30:00,66.515,58.404,51.955,,,,,
95,02/23/19,11:40:00,66.429,58.427,51.885,,,,,
96,02/23/19,11:50:00,66.344,58.480,51.827,,,,,
97,02/23/19,12:00:00,66.258,58.503,51.757,,,,,
98,02/23/19,12:10:00,66.214,58.500,51.715,,,,,
99,02/23/19,12:20:00,66.173,58.678,51.755,,,,,
100,02/23/19,12:30:00,66.344,59.301,52.192,,,,,
101,02/23/19,12:40:00,66.472,59.160,52.250,,,,,
102,02/23/19,12:50:00,66.515,58.921,52.185,,,,,
103,02/23/19,13:00:00,66.515,58.738,52.104,,,,,
104,02/23/19,13:10:00,66.472,58.674,52.034,,,,,
105,02/23/19,13:20:00,66.385,58.484,51.868,,,,,
106,02/23/19,13:30:00,66.258,58.473,51.744,,,,,
107,02/23/19,13:40:00,66.214,58.591,51.757,,,,,
108,02/23/19,13:50:00,66.173,58.678,51.755,,,,,
109,02/23/19,14:00:00,66.130,58.796,51.768,,,,,
110,02/23/19,14:10:00,66.130,58.887,51.807,,,,,
111,02/23/19,14:20:00,66.087,58.944,51.793,,,,,
112,02/23/19,14:30:00,66.000,59.028,51.750,,,,,
113,02/23/19,14:40:00,66.130,59.736,52.182,,,,,
114,02/23/19,14:50:00,66.385,60.001,52.540,,,,,
115,02/23/19,15:00:00,66.515,59.770,52.560,,,,,
116,02/23/19,15:10:00,66.600,59.535,52.538,,,,,
117,02/23/19,15:20:00,66.558,59.350,52.416,,,,,
118,02/23/19,15:30:00,66.515,59.194,52.306,,,,,
119,02/23/19,15:40:00,66.429,59.096,52.182,,,,,
120,02/23/19,15:50:00,66.344,59.027,52.072,,,,,
121,02/23/19,16:00:00,66.258,58.990,51.973,,,,,
122,02/23/19,16:10:00,66.214,58.955,51.919,,,,,
123,02/23/19,16:20:00,66.087,58.944,51.793,,,,,
124,02/23/19,16:30:00,66.000,58.906,51.696,,,,,
125,02/23/19,16:40:00,66.000,59.301,51.870,,,,,
126,02/23/19,16:50:00,66.301,60.024,52.468,,,,,
127,02/23/19,17:00:00,66.515,59.740,52.547,,,,,
128,02/23/19,17:10:00,66.558,59.410,52.443,,,,,
129,02/23/19,17:20:00,66.558,59.167,52.335,,,,,
130,02/23/19,17:30:00,66.515,58.982,52.212,,,,,
131,02/23/19,17:40:00,66.429,58.822,52.061,,,,,
132,02/23/19,17:50:00,66.301,58.659,51.867,,,,,
133,02/23/19,18:00:00,66.173,58.648,51.741,,,,,
134,02/23/19,18:10:00,66.087,58.732,51.697,,,,,
135,02/23/19,18:20:00,66.214,59.380,52.106,,,,,
136,02/23/19,18:30:00,66.385,59.304,52.234,,,,,
