"Plot Title:  10635577"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_T)","RH, % (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_RH)","DewPt, °F (LGR S/N: 10635577, SEN S/N: 10635577)","Bad Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Detached (LGR S/N: 10635577, SEN S/N: 10635577)","Good Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Attached (LGR S/N: 10635577, SEN S/N: 10635577)","Stopped (LGR S/N: 10635577, SEN S/N: 10635577)","End Of File (LGR S/N: 10635577, SEN S/N: 10635577)"
90,02/26/19,10:50:00,58.455,33.826,30.609,,,,,,
91,02/26/19,11:00:00,59.358,33.873,31.440,,,,,,
92,02/26/19,11:10:00,59.916,35.268,32.950,,,,,,
93,02/26/19,11:20:00,60.260,39.159,35.902,,,,,,
94,02/26/19,11:30:00,60.991,40.133,37.182,,,,,,
95,02/26/19,11:40:00,61.804,37.769,36.365,,,,,,
96,02/26/19,11:50:00,62.276,42.002,39.502,,,,,,
97,02/26/19,12:00:00,64.117,40.869,40.460,,,,,,
98,02/26/19,12:10:00,65.273,41.454,41.869,,,,,,
99,02/26/19,12:20:00,63.475,44.402,42.019,,,,,,
100,02/26/19,12:30:00,64.033,44.217,42.417,,,,,,
101,02/26/19,12:40:00,65.658,43.751,43.619,,,,,,
102,02/26/19,12:50:00,66.686,43.467,44.380,,,,,,
103,02/26/19,13:00:00,65.745,43.884,43.776,,,,,,
104,02/26/19,13:10:00,67.456,43.133,44.877,,,,,,
105,02/26/19,13:20:00,65.017,48.579,45.754,,,,,,
106,02/26/19,13:30:00,66.515,45.178,45.234,,,,,,
107,02/26/19,13:40:00,67.971,46.674,47.415,,,,,,
108,02/26/19,13:50:00,66.772,47.508,46.783,,,,,,
109,02/26/19,14:00:00,65.359,48.604,46.081,,,,,,
110,02/26/19,14:10:00,65.745,49.103,46.702,,,,,,
111,02/26/19,14:20:00,65.316,51.538,47.568,,,,,,
112,02/26/19,14:30:00,66.472,53.117,49.429,,,,,,
113,02/26/19,14:40:00,66.087,51.721,48.375,,,,,,
114,02/26/19,14:50:00,64.888,52.528,47.667,,,,,,
115,02/26/19,15:00:00,65.487,53.504,48.704,,,,,,
116,02/26/19,15:10:00,65.273,54.658,49.060,,,,,,
117,02/26/19,15:20:00,64.247,55.189,48.353,,,,,,
118,02/26/19,15:30:00,64.589,54.726,48.454,,,,,,
119,02/26/19,15:40:00,64.161,55.763,48.542,,,,,,
120,02/26/19,15:50:00,63.862,56.014,48.376,,,,,,
121,02/26/19,16:00:00,64.375,55.536,48.636,,,,,,
122,02/26/19,16:10:00,65.829,56.361,50.380,,,,,,
123,02/26/19,16:20:00,65.615,54.470,49.289,,,,,,
124,02/26/19,16:30:00,64.803,55.326,48.936,,,,,,
125,02/26/19,16:40:00,64.503,55.577,48.774,,,,,,
126,02/26/19,16:50:00,64.204,57.627,49.435,,,,,,
127,02/26/19,17:00:00,64.161,57.350,49.269,,,,,,
128,02/26/19,17:10:00,64.204,57.567,49.406,,,,,,
129,02/26/19,17:20:00,64.717,57.732,49.964,,,,,,
130,02/26/19,17:30:00,64.033,57.674,49.294,,,,,,
131,02/26/19,17:40:00,63.390,57.467,48.598,,,,,,
132,02/26/19,17:50:00,63.219,58.392,48.850,,,,,,
133,02/26/19,18:00:00,62.834,57.268,47.986,,,,,,
134,02/26/19,18:10:00,62.577,57.397,47.804,,,,,,
135,02/26/19,18:20:00,62.406,57.837,47.838,,,,,,
136,02/26/19,18:30:00,62.447,57.113,47.556,,,,,,
137,02/26/19,18:40:00,61.761,58.085,47.345,,,,,,
138,02/26/19,18:50:00,61.720,58.292,47.395,,,,,,
139,02/26/19,19:00:00,61.506,58.666,47.358,,,,,,
140,02/26/19,19:10:00,62.062,58.443,47.784,,,,,,
141,02/26/19,19:20:00,61.977,58.194,47.593,,,,,,
142,02/26/19,19:30:00,61.462,59.204,47.550,,,,,,
143,02/26/19,19:40:00,61.677,58.530,47.460,,,,,,
144,02/26/19,19:50:00,61.419,58.658,47.273,,,,,,
145,02/26/19,20:00:00,61.547,58.489,47.320,,,,,,
146,02/26/19,20:10:00,61.290,58.587,47.122,,,,,,
147,02/26/19,20:20:00,60.991,59.643,47.295,,,,,,
148,02/26/19,20:30:00,61.119,58.843,47.071,,,,,,
149,02/26/19,20:40:00,61.248,58.975,47.250,,,,,,
150,02/26/19,20:50:00,60.260,60.118,46.809,,,,,,
151,02/26/19,21:00:00,60.604,59.669,46.942,,,,,,
152,02/26/19,21:10:00,60.861,59.121,46.949,,,,,,
153,02/26/19,21:20:00,60.346,59.886,46.791,,,,,,
154,02/26/19,21:30:00,59.745,60.490,46.479,,,,,,
155,02/26/19,21:40:00,60.089,60.611,46.854,,,,,,
