"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
1,05/01/17,13:20:00,67.114,51.893,49.413,Logged,,,
2,05/01/17,13:25:00,67.028,51.575,49.172,,,,
3,05/01/17,13:30:00,67.199,52.024,49.559,,,,
4,05/01/17,13:35:00,67.928,51.612,50.023,,,,
5,05/01/17,13:40:00,67.928,51.425,49.928,,,,
6,05/01/17,13:45:00,68.400,50.804,50.043,,,,
7,05/01/17,13:50:00,68.785,49.985,49.971,,,,
8,05/01/17,13:55:00,68.785,48.315,49.073,,,,
9,05/01/17,14:00:00,69.471,48.680,49.901,,,,
10,05/01/17,14:05:00,69.901,47.444,49.613,,,,
11,05/01/17,14:10:00,69.427,47.220,49.057,,,,
12,05/01/17,14:15:00,69.557,48.465,49.863,,,,
13,05/01/17,14:20:00,69.343,48.070,49.449,,,,
14,05/01/17,14:25:00,69.685,47.873,49.656,,,,
15,05/01/17,14:30:00,70.115,48.473,50.380,,,,
16,05/01/17,14:35:00,70.372,47.890,50.295,,,,
17,05/01/17,14:40:00,70.543,47.076,49.996,,,,
18,05/01/17,14:45:00,70.673,48.038,50.652,,,,
19,05/01/17,14:50:00,70.974,45.766,49.636,,,,
20,05/01/17,14:55:00,71.146,45.457,49.613,,,,
21,05/01/17,15:00:00,70.887,45.024,49.123,,,,
22,05/01/17,15:05:00,71.577,47.211,51.017,,,,
23,05/01/17,15:10:00,72.437,47.175,51.784,,,,
24,05/01/17,15:15:00,72.997,44.135,50.506,,,,
25,05/01/17,15:20:00,73.040,42.716,49.669,,,,
26,05/01/17,15:25:00,73.126,40.643,48.412,,,,
27,05/01/17,15:30:00,73.472,39.292,47.817,,,,
28,05/01/17,15:35:00,72.610,39.306,47.055,,,,
29,05/01/17,15:40:00,72.610,40.351,47.755,,,,
30,05/01/17,15:45:00,72.869,39.714,47.563,,,,
31,05/01/17,15:50:00,73.126,40.545,48.348,,,,
32,05/01/17,15:55:00,73.688,40.546,48.853,,,,
33,05/01/17,16:00:00,73.645,40.935,49.069,,,,
34,05/01/17,16:05:00,73.904,41.537,49.696,,,,
35,05/01/17,16:10:00,73.645,42.430,50.034,,,,
36,05/01/17,16:15:00,73.602,41.681,49.516,,,,
37,05/01/17,16:20:00,73.731,43.537,50.805,,,,
38,05/01/17,16:25:00,73.947,42.157,50.133,,,,
39,05/01/17,16:30:00,73.774,42.406,50.135,,,,
40,05/01/17,16:35:00,74.120,43.303,51.012,,,,
41,05/01/17,16:40:00,73.731,42.825,50.362,,,,
42,05/01/17,16:45:00,73.904,44.387,51.483,,,,
43,05/01/17,16:50:00,73.904,44.839,51.755,,,,
44,05/01/17,16:55:00,74.120,43.465,51.112,,,,
45,05/01/17,17:00:00,74.034,42.325,50.319,,,,
46,05/01/17,17:05:00,73.861,43.642,50.986,,,,
47,05/01/17,17:10:00,74.163,42.268,50.400,,,,
48,05/01/17,17:15:00,74.250,42.078,50.356,,,,
49,05/01/17,17:20:00,74.511,40.661,49.667,,,,
50,05/01/17,17:25:00,74.554,39.617,49.005,,,,
51,05/01/17,17:30:00,74.640,39.557,49.041,,,,
52,05/01/17,17:35:00,74.943,36.744,47.325,,,,
53,05/01/17,17:40:00,75.029,36.914,47.525,,,,
54,05/01/17,17:45:00,75.117,35.793,46.773,,,,
55,05/01/17,17:50:00,74.683,38.608,48.425,,,,
56,05/01/17,17:55:00,74.554,39.027,48.600,,,,
57,05/01/17,18:00:00,74.338,38.423,47.988,,,,
58,05/01/17,18:05:00,74.467,37.970,47.784,,,,
59,05/01/17,18:10:00,74.250,38.550,48.000,,,,
60,05/01/17,18:15:00,74.206,37.132,46.954,,,,
61,05/01/17,18:20:00,74.034,38.800,47.980,,,,
62,05/01/17,18:25:00,74.034,37.156,46.818,,,,
63,05/01/17,18:30:00,73.688,38.321,47.338,,,,
64,05/01/17,18:35:00,73.774,36.679,46.243,,,,
65,05/01/17,18:40:00,73.602,35.546,45.250,,,,
66,05/01/17,18:45:00,73.558,34.483,44.402,,,,
67,05/01/17,18:50:00,73.429,34.642,44.411,,,,
68,05/01/17,18:55:00,72.997,35.084,44.368,,,,
69,05/01/17,19:00:00,72.783,35.138,44.218,,,,
70,05/01/17,19:05:00,72.610,34.367,43.477,,,,
71,05/01/17,19:10:00,72.567,34.564,43.590,,,,
72,05/01/17,19:15:00,72.567,32.869,42.255,,,,
73,05/01/17,19:20:00,72.221,32.352,41.535,,,,
74,05/01/17,19:25:00,72.007,33.074,41.931,,,,
75,05/01/17,19:30:00,71.620,33.852,42.206,,,,
76,05/01/17,19:35:00,71.231,33.964,41.954,,,,
77,05/01/17,19:40:00,70.887,34.542,42.098,,,,
78,05/01/17,19:45:00,70.716,34.335,41.787,,,,
79,05/01/17,19:50:00,70.286,35.336,42.166,,,,
80,05/01/17,19:55:00,70.158,35.098,41.875,,,,
81,05/01/17,20:00:00,69.771,35.868,42.103,,,,
82,05/01/17,20:05:00,69.600,36.351,42.305,,,,
83,05/01/17,20:10:00,69.300,36.826,42.381,,,,
84,05/01/17,20:15:00,69.085,37.175,42.436,,,,
85,05/01/17,20:20:00,68.571,38.288,42.753,,,,
86,05/01/17,20:25:00,68.657,37.967,42.609,,,,
87,05/01/17,20:30:00,68.356,38.471,42.687,,,,
88,05/01/17,20:35:00,67.885,39.029,42.643,,,,
89,05/01/17,20:40:00,67.329,40.486,43.102,,,,
90,05/01/17,20:45:00,67.413,40.038,42.890,,,,
91,05/01/17,20:50:00,67.285,40.128,42.832,,,,
92,05/01/17,20:55:00,67.285,39.642,42.514,,,,
93,05/01/17,21:00:00,67.285,39.545,42.451,,,,
94,05/01/17,21:05:00,67.071,39.694,42.357,,,,
95,05/01/17,21:10:00,66.857,39.940,42.327,,,,
96,05/01/17,21:15:00,67.199,38.339,41.565,,,,
97,05/01/17,21:20:00,67.329,37.500,41.103,,,,
98,05/01/17,21:25:00,67.114,38.529,41.617,,,,
99,05/01/17,21:30:00,67.199,37.819,41.209,,,,
100,05/01/17,21:35:00,67.071,37.746,41.045,,,,
101,05/01/17,21:40:00,66.900,37.834,40.951,,,,
